code,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,v_ma5,v_ma10,v_ma20,turnover
000005,2017-10-13,5.08,5.26,5.2,5.04,141959.05,0.12,2.36,5.124,5.086,101511.05,84355.99,189765.14,1.49
000005,2017-10-16,5.15,5.16,5.04,5.03,128339.37,-0.16,-3.08,5.116,5.085,113218.27,87900.75,158574.66,1.35
000005,2017-10-17,5.02,5.07,5.03,5.01,39928.23,-0.01,-0.2,5.102,5.084,101545.16,85906.93,124779.55,0.42
000005,2017-10-18,5.03,5.06,4.91,4.91,80203.24,-0.12,-2.39,5.052,5.066,96470.97,87623.79,113849.17,0.84
000005,2017-10-19,4.91,4.95,4.84,4.83,69482.61,-0.07,-1.43,5.004,5.049,91982.5,88116.46,106807.63,0.73
000005,2017-10-20,4.84,4.9,4.9,4.83,53273.88,0.06,1.24,4.944,5.034,74245.47,87878.26,100337.8,0.56
000005,2017-10-23,4.9,4.98,4.94,4.9,49066.31,0.04,0.82,4.924,5.02,58390.85,85804.56,95785.4,0.52
000005,2017-10-24,4.94,4.94,4.88,4.84,58236.66,-0.06,-1.22,4.894,4.998,62052.54,81798.85,84732.16,0.61
000005,2017-10-25,4.89,4.91,4.9,4.85,39895.0,0.02,0.41,4.892,4.972,53990.89,75230.93,79069.46,0.42
000005,2017-10-26,4.9,4.91,4.91,4.87,49247.19,0.01,0.2,4.906,4.955,49943.81,70963.15,74818.37,0.52
000005,2017-10-27,4.89,4.91,4.86,4.86,40196.92,-0.05,-1.02,4.898,4.921,47328.42,60786.94,72571.46,0.42
000005,2017-10-30,4.87,4.88,4.72,4.7,74550.0,-0.14,-2.88,4.854,4.889,52425.15,55408.0,71654.38,0.78
000005,2017-10-31,4.66,4.76,4.73,4.66,42266.32,0.01,0.21,4.824,4.859,49231.09,55641.81,70774.37,0.44
000005,2017-11-01,4.73,4.73,4.68,4.67,55028.07,-0.05,-1.06,4.78,4.836,52257.7,53124.3,70374.05,0.58
000005,2017-11-02,4.7,4.7,4.62,4.6,64776.1,-0.06,-1.28,4.722,4.814,55363.48,52653.65,70385.05,0.68
000005,2017-11-03,4.62,4.63,4.55,4.52,55793.03,-0.07,-1.51,4.66,4.779,58482.7,52905.56,70391.91,0.59
000005,2017-11-06,4.55,4.56,4.56,4.5,30162.03,0.01,0.22,4.628,4.741,49605.11,51015.13,68409.85,0.32
000005,2017-11-07,4.56,4.65,4.63,4.52,54876.04,0.07,1.53,4.608,4.716,52127.05,50679.07,66238.96,0.58
